상호명,도로명주소,전화번호,위도,경도,데이터기준일
강원대학교병원,강원특별자치도 춘천시 백령로156,033-258-2000,37.87470123,127.7448014,2025-02-10
국립춘천병원,강원특별자치도 춘천시 동산면 영서로824,033-260-3303,37.77144065,127.766615,2025-02-10
춘천서인병원,강원특별자치도 춘천시 동산면 새술막길 315-77,033-261-0999,37.77067238,127.7279939,2025-02-10
춘천예현병원,강원특별자치도 춘천시 서면 샛말길 122-11,033-264-9885,37.85130178,127.6173364,2025-02-10
봄내병원,강원특별자치도 춘천시 춘천로180,033-255-8515,37.8762263,127.7340897,2025-02-10
베드로병원,강원특별자치도 춘천시 공지로270,033-255-0085,37.86596788,127.7353709,2025-02-10
한림대학교춘천성심병원,강원특별자치도 춘천시 삭주로77,033-240-5000,37.88413437,127.740809,2025-02-10
춘천정신건강의학과의원,강원특별자치도 춘천시 퇴계로184,033-264-0507,37.85733898,127.7391187,2025-02-10
춘천마음벗의원,강원특별자치도 춘천시 후석로326,033-255-0300,37.88006684,127.7501873,2025-02-10
안정신건강의학과의원,강원특별자치도 춘천시 금강로68-2,033-254-3473,37.87923622,127.7286514,2025-02-10
사랑정신건강의학과의원,"강원특별자치도 춘천시 영서로2341, 5층",033-257-0088,37.86830623,127.7158728,2025-02-10
함께하는정신건강의학과의원,"강원특별자치도 춘천시 동내면 춘천순환로58, 5층",033-261-1239,37.85509867,127.7503502,2025-02-10
맑은정신건강의학과의원,"강원특별자치도 춘천시 경춘로2362, 2층",033-243-8900,37.86425874,127.7205475,2025-02-10
춘천마음숲정신건강의학과의원,"강원특별자치도 춘천시 방송길98, 6층",033-256-0426,37.87934099,127.7291909,2025-02-10
