수행기관,유형,사업명,사업내용,배정인원,연락처,데이터 기준일자
춘천시니어클럽,노인공익활동사업,노노케어사업단,취약노인 가정방문하여 말벗 등 정서지원,110,033-256-3005,2025-07-09
춘천시니어클럽,노인공익활동사업,동년배지원사업단,취약노인 가정방문하여 말벗등 정서지원,110,033-256-3005,2025-07-09
춘천시니어클럽,노인공익활동사업,시니어환경지킴이(1),근린생활시설 주변 환경개선,180,033-256-3005,2025-07-09
춘천시니어클럽,노인공익활동사업,시니어환경지킴이(2),근린생활시설 주변 환경개선 ,190,033-256-3005,2025-07-09
춘천시니어클럽,노인공익활동사업,공원환경관리(1)사업단,"공원 및 놀이터 유해환경 개선, 아동보호",195,033-256-3005,2025-07-09
춘천시니어클럽,노인공익활동사업,공원환경관리(2)사업단,"공원 및 놀이터 유해환경 개선, 아동보호",200,033-256-3005,2025-07-09
춘천시니어클럽,노인공익활동사업,공원환경관리(3)사업단,"공원 및 놀이터 유해환경 개선, 아동보호 ",200,033-256-3005,2025-07-09
춘천시니어클럽,노인공익활동사업,은빛건강지킴이사업단,시설에 방문하여 방역소독 및 환경정리,60,033-256-3005,2025-07-09
춘천시니어클럽,노인공익활동사업,공공시설도우미사업단,"공공기관, 복지시설에 파견되어 활동",118,033-256-3005,2025-07-09
춘천시니어클럽,노인공익활동사업,학교급식도우미사업단,학교급식소 내 배식지원 및 급식소 환경개선,100,033-256-3005,2025-07-09
춘천시니어클럽,노인공익활동사업,동산환경지킴이(1),거리 및 근린생활주변 환경개선 ,190,033-256-3005,2025-07-09
춘천시니어클럽,노인공익활동사업,동산환경지킴이(2),거리 및 근린생활주변 환경개선 ,190,033-256-3005,2025-07-09
춘천시니어클럽,노인공익활동사업,늘환경재활용,재활용품·폐의약품 수거 및 재활용,34,033-256-3005,2025-07-09
춘천시니어클럽,공동체사업단,"깨,콩농장사업단","깨, 콩등 농작물 재배",80,033-256-3005,2025-07-09
춘천시니어클럽,공동체사업단,함께하는꽃나눔사업단,"꽃다발, 화초 및 화분 수거 판매",25,033-256-3005,2025-07-09
춘천시니어클럽,공동체사업단,EM비누사업단,EM(유용한 미생물) 이용하여 비누 제조 판매,22,033-256-3005,2025-07-09
춘천시니어클럽,공동체사업단,미니마켓 동면점,춘천시니어클럽 및 지역 생산품 마켓 운영,21,033-256-3005,2025-07-09
춘천시니어클럽,공동체사업단,미니마켓 남춘천점,춘천시니어클럽 및 지역 생산품 마켓 운영,24,033-256-3005,2025-07-09
춘천시니어클럽,공동체사업단,우리콩두부사업단,두부 생산하여 가정배달,29,033-256-3005,2025-07-09
춘천시니어클럽,공동체사업단,쥐눈이콩사업단,쥐눈이콩을 뻥튀기하여 웰빙영양간식으로 판매,34,033-256-3005,2025-07-09
춘천시니어클럽,공동체사업단,우리방앗간사업단,참기름기계 및 고추방아를 이용한 생산품 판매 ,33,033-256-3005,2025-07-09
춘천시니어클럽,공동체사업단,황금천사후평점사업단,"헌옷,신발,가방 등 재활용품 수거, 정리, 판매",36,033-256-3005,2025-07-09
춘천시니어클럽,공동체사업단,황금천사석사점사업단,"헌옷,신발,가방 등 재활용품 수거, 정리, 판매",36,033-256-3005,2025-07-09
춘천시니어클럽,공동체사업단,황금천사근화점사업단,"헌옷,신발,가방 등 재활용품 수거, 정리, 판매",36,033-256-3005,2025-07-09
춘천시니어클럽,공동체사업단,아름다운식당사업단,"콩나물, 두부 등을 이용한 음식판매",27,033-256-3005,2025-07-09
춘천시니어클럽,공동체사업단,맛드림도시락사업단,어머니 손맛을 이용한 안전하고 건강한 도시락 판매,40,033-256-3005,2025-07-09
춘천시니어클럽,공동체사업단,쥐눈이콩나물밥(1호점),쥐눈이콩나물을 활용하여 쥐눈이콩나물밥 판매,27,033-256-3005,2025-07-09
춘천시니어클럽,공동체사업단,쥐눈이콩나물밥(2호점),쥐눈이콩나물을 활용하여 쥐눈이콩나물밥 판매,24,033-256-3005,2025-07-09
춘천시니어클럽,공동체사업단,쥐눈이콩나물밥(3호점),쥐눈이콩나물을 활용하여 쥐눈이콩나물밥 판매,24,033-256-3005,2025-07-09
춘천시니어클럽,공동체사업단,생활용품제작사업단,"앞치마, 조끼 등 생활용품 제작",28,033-256-3005,2025-07-09
춘천시니어클럽,공동체사업단,추억의사랑방사업단,"커피, 전통차, 음료 등을 제조하여 판매",31,033-256-3005,2025-07-09
춘천시니어클럽,공동체사업단,시니어마켓,시니어 카페 및 시니어 물품 판매,18,033-256-3005,2025-07-09
춘천시니어클럽,공동체사업단,봄봄분식점,주먹밥 제조 판매 ,24,033-256-3005,2025-07-09
춘천시니어클럽,공동체사업단,미정,신규사업단 구축 및 지역영농사업 추진 예정,131,033-256-3005,2025-07-09
춘천시니어클럽,노인역량활용사업,세탁지원사업단,공공형 빨래방 운영 및 노인안부서비스 지원사업단,21,033-256-3005,2025-07-09
춘천시니어클럽,노인역량활용사업,지역아동센터지원,지역아동센터에 파견되어 시설 및 아동보호 지원,75,033-256-3005,2025-07-09
춘천시니어클럽,노인역량활용사업,실버로드사업단,일자리사업 운전지원 및 사업장 안전관리,57,033-256-3005,2025-07-09
춘천동부노인복지관,노인공익활동사업,아름다운동행사업단,취약노인 가정방문하여 말벗 등 정서지원,60,033-255-8866,2025-07-09
춘천동부노인복지관,노인공익활동사업,공중화장실관리활동,주요 관광지 공중화장실 관리,180,033-255-8866,2025-07-09
춘천동부노인복지관,노인공익활동사업,샛강지킴이사업단,석사천/만천천 주변 환경정리,180,033-255-8866,2025-07-09
춘천동부노인복지관,노인공익활동사업,공감1-3세대통합지원,"사회복지시설 및 유관기관에 파견되어 동화구연, 전통놀이, 한자교육",40,033-255-8866,2025-07-09
춘천동부노인복지관,노인공익활동사업,아동스쿨존지킴이,스쿨존 교통정리,70,033-255-8866,2025-07-09
춘천동부노인복지관,취업알선형,동부익력파견사업단,해당 수요처 연계를 통한 파견 활동 및 근무 *별도모집,251,033-255-8866,2025-07-09
춘천남부노인복지관,노인공익활동사업,남부공원가꾸미1사업단,공원 및 주변 주변 환경개선,225,033-241-5600,2025-07-09
춘천남부노인복지관,노인공익활동사업,남부공원가꾸미2사업단,공원 및 주변 주변 환경개선,235,033-241-5600,2025-07-09
춘천남부노인복지관,노인공익활동사업,아동스쿨존지킴이,학교앞 횡단보도 내 교통안전 지도,130,033-241-5600,2025-07-09
춘천남부노인복지관,노인공익활동사업,학교급식도우미사업단,학교급식소 내 배식지원 및 급식소 환경개선,160,033-241-5600,2025-07-09
춘천남부노인복지관,노인역량활용사업,복지시설A+지원단,"복지시설 파견되어 업무지원(행정, 청소 등)",80,033-241-5600,2025-07-09
춘천남부노인복지관,공동체사업단,카페방송길86사업단,"커피, 음료 등을 제조 및 판매",18,033-241-5600,2025-07-09
춘천북부노인복지관,노인공익활동사업,북부환경지킴이(1),"근린생활시설 주변 환경개선 * 서면, 신사우동",370,033-255-9877,2025-07-09
춘천북부노인복지관,노인공익활동사업,북부환경지킴이(1),"근린생활시설 주변 환경개선 * 동면, 후평동",365,033-255-9877,2025-07-09
춘천북부노인복지관,노인공익활동사업,노노케어사업단,취약노인 가정방문하여 말벗 등 정서지원,15,033-255-9877,2025-07-09
춘천북부노인복지관,노인역량활용사업,이웃보듬이사업단,저소득독거노인 생활밀착형 돌봄서비스,10,033-255-9877,2025-07-09
춘천북부노인복지관,노인역량활용사업,돌봄 도시락 사업단,노인돌봄 도시락 배송 및 노인 안부서비스 ,110,033-255-9877,2025-07-09
춘천북부노인복지관,공동체사업단,북부노인복지관카페,"커피, 음료 등을 제조하여 판매",18,033-255-9877,2025-07-09
소양강댐노인복지관,노인공익활동사업,소양호가꿈이사업단,소양강댐 및 소양호 주변지역 환경개선 활동,200,033-241-9540,2025-07-09
소양강댐노인복지관,노인공익활동사업,소양호생명사랑지킴이,취약노인 안부 확인 및 일상생활 점검,30,033-241-9540,2025-07-09
소양강댐노인복지관,노인공익활동사업,소양호복지시설도우미,복지시설 파견활동(업무보조 및 지원),50,033-241-9540,2025-07-09
소양강댐노인복지관,노인공익활동사업,소양호에코사업단,폐신문지 활용한 신문지 가방 제작 및 배포,40,033-241-9540,2025-07-09
소양강댐노인복지관,노인역량활용사업,이웃돌봄사업단,농촌지역 어르신 일상생활 돌봄 및 마을복지 체계마련,100,033-241-9540,2025-07-09
(사)대한노인회춘천시지회,노인공익활동사업,"경로당행복도우미(1,2,3)","경로당에 파견되어 식사지원, 주변 환경정리 활동",524,033-253-5654,2025-07-09
(사)대한노인회춘천시지회,노인공익활동사업,자전거도로근린생활관리,자전거도로 환경정리 및 관광객 안내,170,033-253-5654,2025-07-09
봄내노인복지센터,노인공익활동사업,봄내환경지킴이사업단,"거리환경개선 및 불법 전단지제거 작업, 꽃길조성 ",91,033-243-1766,2025-07-09
봄내노인복지센터,노인공익활동사업,쓰레기집하장지킴이,쓰레기무단투하방지 및 분리수거독려,60,033-243-1766,2025-07-09
봄내노인복지센터,노인역량활용사업,공공시설A+사업단,"공공시설 프로그램 및 업무보조, 환경개선 지원",20,033-243-1766,2025-07-09
춘천미래동행재단,노인역량활용사업,공공행정지원사업단,공공기관 행정 및 대민업무 지원,90,033-252-5070,2025-07-09
춘천미래동행재단,노인역량활용사업,공익증진지원사업단,"금융업무, 소비피해예방 공익증진 지원",92,033-252-5070,2025-07-09
춘천미래동행재단,노인역량활용사업,기초학습지원사업단,기초학습 지도,66,033-252-5070,2025-07-09
춘천미래동행재단,노인역량활용사업,늘봄학교지원사업단,학교 내 늘봄학교(방과후교실) 업무지원,110,033-252-5070,2025-07-09
춘천미래동행재단,노인역량활용사업,도서관지원사업단,학교 도서관 실무 보조,50,033-252-5070,2025-07-09
춘천미래동행재단,노인역량활용사업,디지털서비스지원사업단,미디어 컨텐츠 제작 업무 및 미디어 분야 교육,10,033-252-5070,2025-07-09
춘천미래동행재단,노인역량활용사업,보육시설지원(1)사업단,"어린이집 및 유치원 아동 돌봄, 환경보조",60,033-252-5070,2025-07-09
춘천미래동행재단,노인역량활용사업,보육시설지원(2)사업단,"어린이집 및 유치원 아동 돌봄, 환경보조",90,033-252-5070,2025-07-09
춘천미래동행재단,노인역량활용사업,시니어컨설턴트사업단,"노후준비 서비스 제공(진단·상담, 관계기관 연계, 사후관리)",6,033-252-5070,2025-07-09
춘천미래동행재단,노인역량활용사업,안전관리지원사업단,"경로당 안전관리, 장애인주차구역 계도 등 안내",6,033-252-5070,2025-07-09
춘천미래동행재단,노인역량활용사업,오지택배사업단,오지 면지역 택배 지원업무,10,033-252-5070,2025-07-09
춘천미래동행재단,노인역량활용사업,장애인지원사업단,"특수학급 아동 생활도움(이동수업,식사,정서 등)",34,033-252-5070,2025-07-09
춘천미래동행재단,노인역량활용사업,지역돌봄지원사업단,"경계선지능장애, 어린이학대 피해, 마을돌봄 등 업무 지원",36,033-252-5070,2025-07-09
춘천미래동행재단,노인역량활용사업,탄소중립사업단,숲해설가 및 환경프로젝트 업무 지원,30,033-252-5070,2025-07-09
춘천미래동행재단,노인역량활용사업,노후동행사업단,노인 상담 및 웰다잉(무연고 장례지원) 운영 등,10,033-252-5070,2025-07-09
춘천미래동행재단,노인역량활용사업,아이돌봄 시범,수혜자 매칭을 통한 아이돌봄 시간제서비스 중심,125,033-252-5070,2025-07-09
