순번,단지명,사업자등록번호,전화번호,종업원수,생산품,공장대표주소(도로명),업종명,기준일자
1,춘천후평일반산업단지,4200902355,033-250-4051,1,건축 및 산업용 수성도료,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 4층 430호",일반용 도료 및 관련제품 제조업,2025-02-06
2,춘천퇴계농공단지,2218138626,,9,"배전반, 전기자동제어반",강원특별자치도 춘천시 퇴계공단1길 58 (퇴계동),방송장비 제조업 외 3 종,2025-02-06
3,춘천도시첨단문화산업단지,2218205947,,118,"학술연구용역, 연구 및 개발업, 비거주용 건물 임대업",강원특별자치도 춘천시 서면 박사로 880 (서면),경제 및 경영학 연구개발업 외 1 종,2025-02-06
4,춘천도시첨단문화산업단지,2218209598,,75,박물관 운영,강원특별자치도 춘천시 서면 박사로 854 강원정보문화진흥원,박물관 운영업,2025-02-06
5,춘천후평일반산업단지,2218209813,033-250-4225,67,유산균.미생물.,"강원특별자치도 춘천시 소양강로 32, 춘천바이오타운 1~3동 (후평동)",생물학적 제제 제조업 외 3 종,2025-02-06
6,춘천후평일반산업단지,2218209813,,67,바이오칩,"강원특별자치도 춘천시 소양강로 56, 4~5동 (후평동) 4~5동",완제 의약품 제조업 외 1 종,2025-02-06
7,춘천후평일반산업단지,2218209813,033-250-4225,14,체외진단 의료기기,강원특별자치도 춘천시 후석로462번길 11 (후평동),의료용품 및 기타 의약 관련제품 제조업,2025-02-06
8,춘천후평일반산업단지,2218143100,070-8895-7342,19,항공측량,"강원특별자치도 춘천시 후석로462번길 7, 3층 301호 (후평동) 3층 301호 외 2필지",측량업 외 1 종,2025-02-06
9,춘천퇴계농공단지,2218146413,,46,콘크리트맨홀,강원특별자치도 춘천시 퇴계공단1길 51 (퇴계동),방송장비 제조업 외 5 종,2025-02-06
10,춘천후평일반산업단지,2218105601,033-0250-4813,163,신문발행업,"강원특별자치도 춘천시 후석로462번길 22 (후평동, 강원도민일보사)",신문 발행업,2025-02-06
11,춘천후평일반산업단지,2218105601,070-8895-7342,11,출판,"강원특별자치도 춘천시 후석로462번길 7, 4층 414호 (후평동) 4층 414호 외 1필지",교과서 및 학습서적 출판업 외 3 종,2025-02-06
12,춘천퇴계농공단지,2218100187,070-8895-7342,145,"신문, 도서, 종이제품(봉투 등)",강원특별자치도 춘천시 퇴계공단길 58 (퇴계동),기타 인쇄업 외 2 종,2025-02-06
13,춘천퇴계농공단지,1598800431,,10,"해커, 응삼이","강원특별자치도 춘천시 퇴계농공로 79, 고려바이오연구소 (퇴계동, (주)대원산업)",복합비료 및 기타 화학비료 제조업 외 2 종,2025-02-06
14,춘천후평일반산업단지,2218130338,070-8895-7342,1,인쇄,강원특별자치도 춘천시 후석로462번길 7 (후평동) 4층 409호,경 인쇄업,2025-02-06
15,춘천퇴계농공단지,2218130338,070-8895-7342,3,간판,"강원특별자치도 춘천시 퇴계공단1길 5 (퇴계동, (주)대성산업춘천공장)",간판 및 광고물 제조업 외 3 종,2025-02-06
16,춘천퇴계농공단지,3808701492,070-8895-7342,7,육류포장,강원특별자치도 춘천시 퇴계공단1길 16 (퇴계동),육류 포장육 및 냉동육 가공업 (가금류 제외) 외 1 종,2025-02-06
