기관명,종류,도로명주소,위도,경도,대표전화번호,데이터기준일
더 오케이 병원,병원,강원특별자치도 춘천시 김유정로 1874 (퇴계동),37.85358881,127.7362814,033-263-5335,2025-02-10
365다담은병원,병원,"강원특별자치도 춘천시 춘천로 188-0, 10층 (효자동)",37.87622627,127.7353381,033-910-0993,2025-02-10
춘천태동요양병원,병원,강원특별자치도 춘천시 남면 박암관천길 821-0,37.87997399,127.7268841,033-263-8100,2025-02-10
영인요양병원,병원,강원특별자치도 춘천시 중앙로 60-0 (중앙로2가),37.86599016,127.7353544,033-256-5688,2025-02-10
토마스요양병원,병원,강원특별자치도 춘천시 영서로 1925-9 (석사동),37.72446835,127.5172148,033-253-5000,2025-02-10
베드로병원,병원,강원특별자치도 춘천시 공지로 270 (효자동),37.84668343,127.7548271,033-255-0085,2025-02-10
춘천요양병원,병원,강원특별자치도 춘천시 동면 춘천로 527-34,37.89778637,127.7637737,033-260-7200,2025-02-10
춘천시노인전문병원,병원,강원특별자치도 춘천시 동면 세실로 252,37.86602739,127.5838094,033-240-7500,2025-02-10
암스트롱요양병원,병원,강원특별자치도 춘천시 서면 율장길 328,37.88114667,127.7268688,033-263-8275,2025-02-10
강원특별자치도재활병원,병원,강원특별자치도 춘천시 충열로142번길 24-16 (우두동),37.88018483,127.7562394,033-248-7700,2025-02-10
의료법인춘천서인병원,병원,강원특별자치도 춘천시 동산면 새술막길 315-77,37.90372694,127.7412177,033-261-0999,2025-02-10
한림대학교춘천성심병원,병원,강원특별자치도 춘천시 삭주로 77 (교동),37.88447415,127.7398045,033-240-5000,2025-02-10
강원대학교병원,병원,강원특별자치도 춘천시 백령로 156 (효자동),37.7709308,127.7289192,033-258-2000,2025-02-10
인성병원,병원,강원특별자치도 춘천시 금강로 39 (낙원동),37.87508794,127.744926,033-253-3030,2025-02-10
춘천새윤요양병원,병원,강원특별자치도 춘천시 퇴계공단길 40 (퇴계동),37.93826462,127.7297877,033-264-3100,2025-02-10
춘천예현병원,병원,강원특별자치도 춘천시 서면 샛말길 122-11,37.85647246,127.7076036,033-264-9885,2025-02-10
국군춘천병원,병원,강원특별자치도 춘천시 방고개길 57 (신동),37.85128669,127.6173419,033-244-0130,2025-02-10
봄내병원,병원,강원특별자치도 춘천시 춘천로 180 (효자동),37.84455097,127.7358359,033-255-8515,2025-02-10
춘천호반요양병원,병원,강원특별자치도 춘천시 옛경춘로 663 (삼천동),37.83689804,127.7598286,033-251-9911,2025-02-10
국립춘천병원,병원,강원특별자치도 춘천시 동산면 영서로 824,37.88008384,127.7276265,033-260-3000,2025-02-10
퓨어린의원 춘천점,의원,"강원특별자치도 춘천시 춘천로 7, 스카이에비뉴 빌딩 2층 202,203호 (온의동)",37.89317282,127.7556305,0507-1415-4026,2025-02-10
노정호백세정형외과의원,의원,"강원특별자치도 춘천시 스포츠타운길 494, 2,3층 (온의동)",37.87757509,127.7520015,033-253-0100,2025-02-10
김해성힐링유외과의원,의원,"강원특별자치도 춘천시 금강로 67-1, 3층 (조양동)",37.8809687,127.7270702,033-242-6066,2025-02-10
이정환내과의원,의원,"강원특별자치도 춘천시 동내면 영서로 1794, 2층",37.83689804,127.7598286,033-263-8899,2025-02-10
블리비의원,의원,"강원특별자치도 춘천시 방송길 106, 101호~103호, 201호~202호호 (온의동)",37.87944496,127.7263087,1833-2346,2025-02-10
강남내과의원,의원,"강원특별자치도 춘천시 춘천로 68, 3,4층 (효자동)",37.88422286,127.7476157,033-242-8885,2025-02-10
더봄365정형외과의원,의원,"강원특별자치도 춘천시 후석로 294, 2층, 3층 (후평동)",37.86683342,127.7117387,033-253-7575,2025-02-10
정담의원,의원,"강원특별자치도 춘천시 스포츠타운길 496, 202호 (온의동)",37.87935126,127.7292395,033-910-1005,2025-02-10
