시도,시군구,웹사이트이름,웹사이트주소,구축년도,담당부서,데이터기준일
강원특별자치도,춘천시,수도요금 홈페이지,http://waterpay.chuncheon.go.kr,2015,경영지원과,2025-02-11
강원특별자치도,춘천시,관광포털,http://tour.chuncheon.go.kr,2007,관광정책과,2025-02-11
강원특별자치도,춘천시,춘천몰,https://gwch-mall.com,2017,기업지원과,2025-02-11
강원특별자치도,춘천시,춘천 LIVE 버스,https://ccbus.chuncheon.go.kr,2021,교통과,2025-02-11
강원특별자치도,춘천시,도시재생정보 홈페이지,https://uris.chuncheon.go.kr,2020,도시재생과,2025-02-11
강원특별자치도,춘천시,춘천시 동물보호센터 홈페이지,https://aps.chuncheon.go.kr,2021,반려동물산업과,2025-02-11
강원특별자치도,춘천시,춘천사랑상품권 홈페이지,http://ccgc.chuncheon.go.kr,2019,경제정책과,2025-02-11
강원특별자치도,춘천시,춘천시 주정차단속 문자알림 서비스,https://parkingsms.chuncheon.go.kr,2011,교통과,2025-02-11
강원특별자치도,춘천시,춘천시 희망도서 바로대출,https://kcms.chuncheon.go.kr/baro/homepage/main.do,2017,시립도서과,2025-02-11
강원특별자치도,춘천시,춘천시립공공도서관 홈페이지,https://library.chuncheon.go.kr,2007,시립도서관,2025-02-11
강원특별자치도,춘천시,춘천시립공공도서관 전자책서비스,https://elib.chuncheon.go.kr,2020,시립도서관,2025-02-11
강원특별자치도,춘천시,춘천시 대표 홈페이지,https://www.chuncheon.go.kr/cityhall,2017,소통담당관,2025-02-11
강원특별자치도,춘천시,채널춘천,http://media.chuncheon.go.kr,2019,소통담당관,2025-02-11
강원특별자치도,춘천시,봄내소식지 홈페이지,https://bomnae.chuncheon.go.kr,2021,소통담당관,2025-02-11
강원특별자치도,춘천시,춘천시 홈페이지 포털,https://www.chuncheon.go.kr,2021,소통담당관,2025-02-11
강원특별자치도,춘천시,춘천시 경제포털,https://www.chuncheon.go.kr/economy,2021,소통담당관,2025-02-11
강원특별자치도,춘천시,춘천시 복지포털,https://www.chuncheon.go.kr/welfare,2021,소통담당관,2025-02-11
강원특별자치도,춘천시,춘천시 문화레저포털,https://www.chuncheon.go.kr/culture-leisure,2021,소통담당관,2025-02-11
강원특별자치도,춘천시,봄의대화,https://spring.chuncheon.go.kr,2019,자치행정과,2025-02-11
강원특별자치도,춘천시,청소년활동 통합홈페이지,https://youthzone.chuncheon.go.kr,2020,여성가족과,2025-02-11
강원특별자치도,춘천시,대형폐기물배출신고시스템,https://clean.chuncheon.go.kr,2008,자원순환과,2025-02-11
강원특별자치도,춘천시,춘천레저태권도조직위 홈페이지,http://cleisure.org,2008,체육과,2025-02-11
강원특별자치도,춘천시,춘천도시공사 홈페이지,https://www.cuc.or.kr,2019,춘천도시공사,2025-02-11
강원특별자치도,춘천시,춘천시의회 홈페이지,http://council.chuncheon.go.kr,2015,춘천시의회,2025-02-11
강원특별자치도,춘천시,춘천시의회 인터넷방송시스템,http://cclive.chuncheon.go.kr,2019,춘천시의회,2025-02-11
강원특별자치도,춘천시,대민생활안내지도,https://map.chuncheon.go.kr,2021,토지정보과,2025-02-11
강원특별자치도,춘천시,평생학습관,https://clc.chuncheon.go.kr,2012,평생학습관,2025-02-11
강원특별자치도,춘천시,춘천시민장학재단 홈페이지,http://ccbomnae.or.kr,2021,행정지원과,2025-02-11
강원특별자치도,춘천시,춘천시의회 회의록시스템,https://kms.chuncheon.go.kr,2022,춘천시의회,2025-02-11
강원특별자치도,춘천시,계약정보공개시스템,https://contract.chuncheon.go.kr,2022,회계과,2025-02-11
강원특별자치도,춘천시,개별공시지가 문자알리미 서비스,https://landprice.chuncheon.go.kr,2022,토지정보과,2025-02-11
강원특별자치도,춘천시,춘천시 교통포털,http://www.chuncheon.go.kr/traffic,2022,소통담당관,2025-02-11
강원특별자치도,춘천시,농업기술센터 홈페이지,https://www.chuncheon.go.kr/agriculture,2022,소통담당관,2025-02-11
강원특별자치도,춘천시,보건소 홈페이지,https://www.chuncheon.go.kr/health,2022,소통담당관,2025-02-11
강원특별자치도,춘천시,상하수도사업본부 홈페이지,http://www.chuncheon.go.kr/water,2022,소통담당관,2025-02-11
강원특별자치도,춘천시,재난안전대책본부 홈페이지,http://www.chuncheon.go.kr/disaster-safety,2022,소통담당관,2025-02-11
강원특별자치도,춘천시,통계 홈페이지,http://www.chuncheon.go.kr/statistics,2022,소통담당관,2025-02-11
