의료기관명,어린이_국가예방접종,인유두종 바이러스_국가예방접종_지원사업,비형간염_주산기감염_예방사업,인플루엔자_어린이_13세이하,인플루엔자_어르신,인플루엔자_임신부,폐렴구균_어르신,전화번호,우편번호,도로명주소,데이터기준일
365다담은한방병원,N,N,N,N,Y,N,Y,033-910-0993,24329,"강원특별자치도 춘천시 춘천로 188-0, (효자동) 10층",2025-04-30
365성모가정의학과의원,Y,Y,N,Y,Y,Y,Y,033-251-3500,24297,"강원특별자치도 춘천시 후석로 352, (후평동, 국제빌딩) 2층",2025-04-30
강남내과의원,N,N,N,N,Y,N,Y,033-242-8885,24366,"강원특별자치도 춘천시 춘천로 68, (효자동) 3,4층",2025-04-30
강남리본정형외과의원,N,N,N,N,Y,N,N,033-263-7500,24378,"강원특별자치도 춘천시 후석로 7, (석사동) 1층",2025-04-30
강원대학교병원,Y,Y,Y,Y,Y,Y,N,033-258-9498,24289,"강원도 춘천시 백령로 156, (효자동) ",2025-04-30
강원특별자치도재활병원,N,N,N,N,Y,N,Y,033-248-7727,24227,"강원특별자치도 춘천시 충열로142번길 24-16, (우두동) ",2025-04-30
고려비뇨기과의원,N,N,N,N,Y,N,N,033-242-7580,24304,"강원특별자치도 춘천시 보안길 65, (후평동) ",2025-04-30
고석연가정의학과의원,Y,Y,Y,Y,Y,N,Y,033-254-0121,24313,"강원특별자치도 춘천시 후석로 244, (후평동) 2층",2025-04-30
구철회내과의원,Y,Y,Y,Y,Y,Y,Y,033-244-3500,24329,"강원특별자치도 춘천시 춘천로 188, (효자동) ",2025-04-30
국립춘천병원,N,N,N,N,N,N,N,033-260-3245,24409,강원특별자치도 춘천시 동산면 영서로 824 824,2025-04-30
권재활의학과의원,N,N,N,N,Y,N,Y,033-244-3465,24274,"강원특별자치도 춘천시 중앙로 104, (낙원동) ",2025-04-30
그랜드아름다운의원,Y,N,N,Y,Y,N,N,033-255-6470,24273,"강원특별자치도 춘천시 중앙로 68, (중앙로2가) 4층",2025-04-30
그랜드연합내과의원,N,N,N,N,Y,N,Y,033-257-9222,24273,"강원특별자치도 춘천시 중앙로 68, (중앙로2가) 3층",2025-04-30
그랜드연합의원,Y,N,N,Y,Y,N,N,033-255-6470,24273,"강원특별자치도 춘천시 중앙로 68, (중앙로2가) 5~6층",2025-04-30
김내과의원,Y,N,N,Y,Y,N,Y,033-252-7595,24237,"강원특별자치도 춘천시 영서로 2777, (우두동) ",2025-04-30
김도훈재활의학과의원,Y,N,N,Y,Y,N,Y,033-253-6606,24304,"강원특별자치도 춘천시 후석로 312, (후평동) ",2025-04-30
