경찰서명,주소,전화번호,경도,위도,데이터기준일자
남부지구대,강원도 춘천시 우석로4번길 21,033-245-0741,127.7450306,37.86082716,2024-07-25
남산파출소,강원도 춘천시 남산면 한치로 77,033-245-0781,127.6466576,37.79167383,2024-07-25
사북파출소,강원도 춘천시 사북면 영서로 4715,033-245-0701,127.6410423,38.02963047,2024-07-25
서면파출소,강원도 춘천시 서면 박사로 1279,033-245-0791,127.709749,37.92261992,2024-07-25
서부지구대,강원도 춘천시 영서로 2414,033-245-0731,127.7132567,37.87438232,2024-07-25
소양로지구대,강원도 춘천시 공지로 571-1,033-245-0761,127.7163998,37.88307937,2024-07-25
신북파출소,강원도 춘천시 신북읍 율문길 79,033-245-0771,127.7469115,37.92579261,2024-07-25
신사우파출소,강원도 춘천시 영서로2771번길 2,033-245-0751,127.7284392,37.90083918,2024-07-25
중부지구대,강원도 춘천시 서부대성로 168,033-245-0711,127.7372869,37.87577622,2024-07-25
춘천경찰서,춘천시 춘천로 61,,127.7242632,37.87029994,2024-07-25
후평지구대,강원도 춘천시 춘천로 325,033-245-0721,127.7482748,37.88283342,2024-07-25
