번호,공원종류,공원명,주소,경도,위도,데이터기준일자
1,소공원,공원,강원특별자치도 춘천시 근화동 467-1,127.7168606,37.87750999,2024-07-25
2,소공원,공원,강원특별자치도 춘천시 근화동 464-1,127.7161842,37.8766575,2024-07-25
3,소공원,공원,강원특별자치도 춘천시 소양로211번길 4,127.7256773,37.89191769,2024-07-25
4,소공원,방곡공원,강원특별자치도 춘천시 남산면 방곡리 629-59,127.6429713,37.79345202,2024-07-25
5,소공원,공원,강원특별자치도 춘천시 근화동 796-33,127.7239613,37.8925535,2024-07-25
6,소공원,공원,강원특별자치도 춘천시 퇴계동 366-2,127.7284997,37.86171387,2024-07-25
7,소공원,공원,강원특별자치도 춘천시 퇴계동 375-4,127.7306809,37.86027363,2024-07-25
8,소공원,공원,강원특별자치도 춘천시 약사동 156-4,127.7210078,37.8728628,2024-07-25
9,소공원,공원,강원특별자치도 춘천시 서면 현암리 882,127.6923486,37.89297919,2024-07-25
10,소공원,공원,강원특별자치도 춘천시 약사동 76-53,127.7249271,37.87389354,2024-07-25
11,소공원,공원,강원특별자치도 춘천시 약사동 68-98,127.7260136,37.87454101,2024-07-25
12,소공원,공원,강원특별자치도 춘천시 북산면 추곡리 135-2,127.8890875,38.03730257,2024-07-25
13,소공원,공원,강원특별자치도 춘천시 동산면 봉명리 1106,127.7757259,37.76570625,2024-07-25
14,소공원,공원,강원특별자치도 춘천시 석사동 978,127.7488489,37.86414935,2024-07-25
15,소공원,공원,강원특별자치도 춘천시 삼천동 795,127.7068034,37.8681994,2024-07-25
16,소공원,공원,강원특별자치도 춘천시 근화동 242-1,127.7168227,37.87693795,2024-07-25
17,소공원,공원,강원특별자치도 춘천시 소양로4가 97,127.7183641,37.87636142,2024-07-25
18,소공원,공원,강원특별자치도 춘천시 동산면 군자리 1098,,,2024-07-25
19,수변공원,공원,강원특별자치도 춘천시 효자동 677,127.7286772,37.87453005,2024-07-25
20,소공원,신촌소공원,강원특별자치도 춘천시 동내면 신촌리 641-118,127.7857334,37.85465499,2024-07-25
21,어린이공원,한마음공원,강원특별자치도 춘천시 효자동 701-2,127.7298995,37.86695106,2024-07-25
22,어린이공원,한들공원,강원특별자치도 춘천시 퇴계동 1056,127.7321131,37.8629769,2024-07-25
23,어린이공원,근화동공원,강원특별자치도 춘천시 근화동 710-37,127.7203103,37.8736598,2024-07-25
24,어린이공원,오동나무공원,강원특별자치도 춘천시 효자2동 617-1,127.7405805,37.87392738,2024-07-25
25,어린이공원,공원,강원특별자치도 춘천시 소양로2가 180-10,127.7238436,37.8875838,2024-07-25
26,어린이공원,과학꿈나무공원,강원특별자치도 춘천시 효자2동 775,127.7399634,37.87276501,2024-07-25
27,어린이공원,근화동공원(앞두루공원),강원특별자치도 춘천시 근화동 747-3,127.7126765,37.87672032,2024-07-25
28,어린이공원,뒤뜰공원,강원특별자치도 춘천시 후평1동 753-7,127.7526864,37.88991046,2024-07-25
29,어린이공원,푸른언덕공원,강원특별자치도 춘천시 후평2동 67-15,127.7464687,37.87567124,2024-07-25
30,어린이공원,근화동공원,강원특별자치도 춘천시 근화동 793-1,127.7215138,37.892206,2024-07-25
31,어린이공원,다람쥐공원,강원특별자치도 춘천시 후평2동 481-5,127.7479436,37.87431166,2024-07-25
32,어린이공원,대양공원,강원특별자치도 춘천시 후평3동 808-2,127.7552336,37.87728467,2024-07-25
33,어린이공원,말탕개미공원,강원특별자치도 춘천시 후평1동 858-3,127.7420721,37.88246132,2024-07-25
34,어린이공원,후평새싹공원,강원특별자치도 춘천시 후평1동 849-5,127.7438635,37.88344545,2024-07-25
35,어린이공원,지성공원,강원특별자치도 춘천시 효자동 175-40,127.7368927,37.867805,2024-07-25
36,어린이공원,행복공원,강원특별자치도 춘천시 석사동 703,127.7403071,37.86170319,2024-07-25
37,어린이공원,곰도리공원,강원특별자치도 춘천시 석사동 647-5,127.7411875,37.85985237,2024-07-25
38,어린이공원,푸르미공원,강원특별자치도 춘천시 석사동 668,127.7440433,37.85815331,2024-07-25
39,어린이공원,세실공원,강원특별자치도 춘천시 후평동 868,127.7577067,37.87703183,2024-07-25
40,어린이공원,호반공원,강원특별자치도 춘천시 후평3동 879-3,127.7587399,37.87477934,2024-07-25
41,어린이공원,남춘천공원,강원특별자치도 춘천시 퇴계동 1147,127.7281873,37.86497672,2024-07-25
42,어린이공원,공원,강원특별자치도 춘천시 근화동 231-53,127.7189891,37.87852371,2024-07-25
43,어린이공원,우묵들1공원,강원특별자치도 춘천시 퇴계동 1157,127.7242532,37.86709115,2024-07-25
44,어린이공원,우묵들2공원,강원특별자치도 춘천시 퇴계동 1154,127.7256052,37.8658936,2024-07-25
45,어린이공원,우묵들3공원,강원특별자치도 춘천시 퇴계동 1185,127.7231266,37.86577371,2024-07-25
46,어린이공원,열린공원,강원특별자치도 춘천시 온의동 527,127.7213245,37.8622532,2024-07-25
47,어린이공원,남부새싹공원,강원특별자치도 춘천시 퇴계동 911,127.7258456,37.85958478,2024-07-25
