읍면동명,소재지도로명주소,대표전화번호,팩스번호,데이터기준일
신북읍행정복지센터,강원도 춘천시 신북읍 율문길 75,033-250-3601,033-250-3901,2025-02-12
동면행정복지센터,강원도 춘천시 동면 가산로 69,033-250-3602,033-250-3902,2025-02-12
동산면행정복지센터,강원도 춘천시 동산면 조양길 270,033-250-3603,033-250-3903,2025-02-12
신동면행정복지센터,강원도 춘천시 신동면 김유정로 1418,033-250-3604,033-250-3904,2025-02-12
동내면행정복지센터,강원도 춘천시 동내면 동내로 78,033-250-3605,033-250-3905,2025-02-12
남면행정복지센터,강원도 춘천시 남면 충효로 1130-10,033-250-3606,033-250-3906,2025-02-12
남산면행정복지센터,강원도 춘천시 남산면 한치로 73,033-250-3607,033-250-3907,2025-02-12
서면행정복지센터,강원도 춘천시 서면 금산길 31,033-250-3608,033-250-3908,2025-02-12
사북면행정복지센터,강원도 춘천시 사북면 영서로 4721,033-250-3609,033-250-3909,2025-02-12
북산면행정복지센터,강원도 춘천시 북산면 북산로 493,033-250-3610,033-250-3910,2025-02-12
소양동행정복지센터,강원도 춘천시 금강로 17,033-250-3611,033-250-3911,2025-02-12
교동행정복지센터,강원도 춘천시 교동길 19,033-250-3612,033-250-3912,2025-02-12
조운동행정복지센터,강원도 춘천시 아침길 11,033-250-3613,033-250-3913,2025-02-12
약사명동행정복지센터,강원도 춘천시 망대길 9,033-250-3614,033-250-3914,2025-02-12
근화동행정복지센터,강원도 춘천시 영서로 2487,033-250-3615,033-250-3915,2025-02-12
후평1동행정복지센터,강원도 춘천시 후석로 403,033-250-3616,033-250-3916,2025-02-12
후평2동행정복지센터,강원도 춘천시 부안길6번길 45,033-250-3617,033-250-3917,2025-02-12
후평3동행정복지센터,강원도 춘천시 후만로 83,033-250-3618,033-250-3918,2025-02-12
효자1동행정복지센터,강원도 춘천시 효자상길 9,033-250-3619,033-250-3919,2025-02-12
효자2동행정복지센터,강원도 춘천시 돌담길10번길 8,033-250-3620,033-250-3920,2025-02-12
효자3동행정복지센터,강원도 춘천시 두하길 21,033-250-3621,033-250-3921,2025-02-12
석사동행정복지센터,강원도 춘천시 후석로 48,033-250-3622,033-250-3922,2025-02-12
퇴계동행정복지센터,강원 춘천시 남춘로 7,033-250-3623,033-250-3923,2025-02-12
강남동행정복지센터,강원도 춘천시 방송길 86,033-250-3624,033-250-3924,2025-02-12
신사우동행정복지센터,강원도 춘천시 사우4길 28,033-250-3625,033-250-3925,2025-02-12
